Acc No,Title,Author,Publication,Language,Subject,Rack,Condition,Status,Acc/Rcvd Date,Register,Register SN,Comments,Corrections
1,Harsha Charita,Bana,,,G,R17,NA,O,,MAIN - Vol 1,348,,
5,Kiratarjuniya Canto 1 To 18,Mallinatha,,,F1,R5,D,O,,MAIN - Vol 1,541,,
8,Kadambari,Bana,,,G,R17,G,O,,MAIN - Vol 1,545,,
10,Dasakumara Charitham,Hase A G,,,G,R17,G,O,,MAIN - Vol 1,778,,
15,Campu Ramayana,Bhoja,,,H,R17,NA,M,,MAIN - Vol 2,2569,,
18,Kadambari Introduction And Notes By Peterson,Bana,,,G,R17,NA,M,,MAIN - Vol 2,2570,,
24,Ratnavalli - Text Only,Sri Harsha,,,I,R10,G,O,,MAIN - Vol 1,327,,
26,Vishwa Guna Darshana Champu - BG.Yogi,Venkatadhvari,,,H,R17,G,O,,MAIN - Vol 1,301,,
27,Abhijana Sakuntalam,N.S. Ed,,,I,R10,D,O,,MAIN - Vol 1,677,,
50,Chandraloka,C S R Sastry,,,J,"R11, R12",G,O,,MAIN - Vol 1,250,,
53,Nataka Kathasangraha,Ananta Chari V,,,G,R17,G,O,,MAIN - Vol 1,848,,
54,Neelakanta Vijaya Champu,Nilakanta Dikshitar,,,H,R17,G,O,,MAIN - Vol 1,311,,
57,Kiratarjuniya,Bharavi,,,F1,R5,G,O,01/08/1956,MAIN - Vol 1,13,,
58,Kiratarjuniya,Bharavi,,,F1,R5,G,O,1968-69,MAIN - Vol 1,156,,
60,Vasavadatta,Subandha,,,G,R17,D,O,,MAIN - Vol 1,777,,
66,Kalidasa's Meghaduta,K B Pathak,,,F2,R5,G,O,,MAIN - Vol 1,1028,,
68,Subhashita Trisati,Bhartrihari,,,F2,R5,D,O,,MAIN - Vol 1,1029,,
75,Dramas of Bhasa,Ed. Trivandrum,,,I,R10,D,O,,MAIN - Vol 1,547,,
77,Siddhanta Kaumudi with Balamanorama Commentary - Uttarardha,"C. Sankararamasastri, Chandrasekhara Sastrigal",,,B6,R3,D,O,1968-69,MAIN - Vol 1,152,,
78,Siddhanta Kaumudi,"Sastri, C S",,,B6,R3,NA,M,1968-69,MAIN - Vol 1,177,,
79,Prataparudriya,S R Sastri,,,J,"R11, R12",D,O,1968-69,MAIN - Vol 1,173,,
85,Valmiki Ramayana,Sri Anna,,,D1,R9,G,O,,MAIN - Vol 1,244,,
86,Bhasa,A S P Ayyar,,,I,R10,TBR,O,,MAIN - Vol 1,546,,
88,Champu Ramayanam,Bhoja,,,H,R17,NA,M,04/07/1969,MAIN - Vol 1,186,,
89,Ratnavalli,Sri Harsha,,,I,R10,G,O,,MAIN - Vol 1,352,,
93,Stotra Ratnavali - Vol II,,,,F2,R5,NA,M,,MAIN - Vol 2,2571,,
127,Dipika Sarvasvam,Kurunguri Srirama Sastri,,,C2,R2,G,O,,MAIN - Vol 1,851,,
129,Tarka Sangraha,Annambhatta,,,C2,R2,TBR,O,,MAIN - Vol 1,353,,
134,Hymns From Rigveda,"Macdonell, A A",,,A1,R1,G,O,01/08/1956,MAIN - Vol 1,47,,
136,The Age of Kalidasa,Aurobindo,,,M1,R19,D,O,01/08/1956,MAIN - Vol 1,19,,
137,Malavikagnimitram,C S R Sastry,,,I,R10,D,O,19/08/1969,MAIN - Vol 1,204,,
141,Sakuntalam,Vani Vilas,,,I,R10,D,O,,MAIN - Vol 1,676,,
143,Yadavabhyudaya Cantos I-IV,Ed. J R B Gopalacharya,,,F1,R5,G,O,,MAIN - Vol 1,537,,
4942,"Language: Its Nature, Development and Origin",Otto Jespersen,,,L,R18,G,O,23/10/1958,MAIN - Vol 1,96,,
8478,The Mahabarata - Analysis And Index,Edward P Price,,,D2,R9,G,O,,MAIN - Vol 1,1030,,
10764,Vedic Reader,"Macdonell, A A",,,A1,R1,TBR,O,,MAIN - Vol 1,351,,
10765,On Vedic Reader Sayanas Commentry Pasupathinath Sastry,"Macdonell, A A",,,A1,R1,NA,O,06/03/1957,MAIN - Vol 1,82,,
10855,Vedic Grammar Part II  -  Beginning From Syntax,"Macdonell, A A",,,B6,R3,D,O,01/08/1956,MAIN - Vol 1,51,,
10862,Introduction To Medieval History of Languages,Tucker,,,L,R18,NA,M,23/10/1958,MAIN - Vol 1,93,,
11253,Kavyamimamsa,Ed. Dalal,,,J,"R11, R12",G,O,,MAIN - Vol 1,447,,
11359,Kavyalankara Vritti,,,,J,"R11, R12",D,O,25/10/1969,MAIN - Vol 1,189,,
11360,Kavyalankara Vritti,,,,J,"R11, R12",D,O,25/10/1969,MAIN - Vol 1,188,,
11375,History of Literature  Tamil,PSS Shastry,,,K,R17,G,O,,MAIN - Vol 1,320,,
11394,Vijayaharasiromani,Narayana,,,M,NA,NA,M,,MAIN - Vol 1,1031,,
11756,Sisupalavadha Canto II,Venkatrama Sastri R S,,,F1,R5,D,O,,MAIN - Vol 1,1027,,
11757,Sisupalavadha Canto II,Magha,,,F1,R5,NA,M,,MAIN - Vol 1,1032,,
11929,A History of Indian Literature,Winternitz,,,K,R17,G,O,,MAIN - Vol 1,431,,
12055,Drama In Sanskrit Literature,Jagirdhar,,,I,R10,NA,M,01/08/1956,MAIN - Vol 1,20,,
12093,Higher Sanskrit Grammar,M R Kale,,,O,R16,G,R,1968-69,MAIN - Vol 1,977,,
12095,Kiratarjuniyam,M R Kale,,,F1,R5,D,O,,MAIN - Vol 1,776,,
12096,Veni Samhara,"Kale, M R",,,I,R10,NA,M,,MAIN - Vol 1,266,,
12097,Kadambari,"Kale, M R",,,G,R17,NA,M,1968-69,MAIN - Vol 1,165,,
12101,Mudra Rakshasa,Visakadatta,,,I,R10,G,O,1968-69,MAIN - Vol 1,153,,
12103,Pratima Nataka,Oriental Book Agency,,,I,R10,D,O,,MAIN - Vol 1,680,,
12106,Mrchakatika of Sudraka,Jauaji (P),,,I,R10,G,O,1968-69,MAIN - Vol 1,154,,
12201,Kavyamala Part VIII,Pandid Durgaprasad And Kashinath Panduranng Parab,,,R,"R6, R16",G,O,,MAIN - Vol 1,1033,,
12203,Kavyamala Part XIII,Pandit Durgaprasad & Kashinath Panduranng Parab,,,R,"R6, R16",NA,M,,MAIN - Vol 1,1034,,
12205,Bhatti Kavya,Ed. NS Press  Jayamangala,,,F1,R5,G,O,,MAIN - Vol 1,448,,
12206,Champu Bharata,N.S. Ed,,,H,R17,D,O,,MAIN - Vol 1,675,,
12290,Sakuntala,"Kalidasa & Devadhar, C R",,,I,R10,NA,M,,MAIN - Vol 1,334,,
12293,Vikramorvasiyam - Nirnaya Sagar,Kalidasa,,,I,R10,G,O,,MAIN - Vol 1,333,,
12294,Sisupalavadha I-IV,Bhandare T R,,,F1,R5,G,O,,MAIN - Vol 1,508,,
12296,Veni Samhara -Kale,Batta Narayana,,,I,R10,G,O,,MAIN - Vol 1,299,,
12297,Ratnavalli,Kale,,,I,R10,D,O,,MAIN - Vol 1,310,,
12619,The Sacred Books of The Hindus,Vasu,,,A6,R1,NA,M,1968-69,MAIN - Vol 1,166,,
12715,Nitisara,Kamandaka,,,F2,R5,G,O,01/08/1956,MAIN - Vol 1,79,,
12716,Sriman Narayaneeyam,Narayana Bhatta,,,F2,R5,G,O,,MAIN - Vol 1,341,,
12732,Bhasa's Dramas,T S Series,,,I,R10,NA,M,,MAIN - Vol 1,534,,
13390,Kavyalankara Sutra Vritti,Vamana,,,J,"R11, R12",D,O,01/08/1956,MAIN - Vol 1,27,,
13391,Kavyalankara Sutra,Jha,,,J,"R11, R12",D,O,25/10/1969,MAIN - Vol 1,187,,
13396,Yagnyavalkya Smrithi,Yagnyavalkya,,,A5,R1,D,O,01/08/1956,MAIN - Vol 1,48,,
13398,Kalidasa Raghuvamsa,Velankar,,,F1,R5,G,O,1968-69,MAIN - Vol 1,171,,
13399,Lowkika Nyayanjali (A Handful of Popular Maxims) - Part I,"Jacob, G A",,,R,"R6, R16",G,O,01/08/1956,MAIN - Vol 1,4,,
13400,Lowkika Nyayanjali (A Handful of Popular Maxims) - Part II,"Jacob, G A",,,R,"R6, R16",G,O,01/08/1956,MAIN - Vol 1,5,,
13401,Lowkika Nyayanjali (A Handful of Popular Maxims) - Part III,"Jacob, G A",,,R,"R6, R16",D,O,01/08/1956,MAIN - Vol 1,6,,
13402,Kumarasambhava (Full),Kalidasa,,,F1,R5,NA,M,,MAIN - Vol 1,840,,
13404,Prabodha Chandrodayam,Krishna Misra,,,I,R10,D,O,01/08/1956,MAIN - Vol 1,18,,
13408,Kavyamala,D P Parab,,,R,"R6, R16",G,O,,MAIN - Vol 1,548,,
13417,Dasarupaka,Dhananjaya (Ed. NS Press - By Parab),,,I1,R11,G,O,,MAIN - Vol 1,449,,
13419,Kuvalayananda,,Nirnaya Sagar Press,,J,"R11, R12",NA,M,,MAIN - Vol 1,682,,
13421,Natya Sastra,Bharata Muni,,,J,"R11, R12",G,O,01/08/1956,MAIN - Vol 1,23,,
13432,Dhvanyaloka,Gupta,,,J,"R11, R12",NA,M,1968-69,MAIN - Vol 1,180,,
13433,Sisupalavadha,Magha,,,F1,R5,D,O,01/08/1956,MAIN - Vol 1,12,,
13434,Pratimanataka,Calcutta Ed,,,I,R10,G,O,,MAIN - Vol 1,531,,
13619,Aitareyopanishad,Swami Sarvananda,,,C6,R4,D,O,,MAIN - Vol 1,1035,,
13850,The Dharmasastra Text Vol 1,Manmatha Nath Dutt,,,A5,R1,D,O,,MAIN - Vol 1,1036,,
13851,The Dharmasastra Text Vol 2,Manmatha Nath Dutt,,,A5,R1,D,O,,MAIN - Vol 1,1037,,
13874,Prabhoda Candrodayam,Krishnana Misra,,,I,R10,G,O,,MAIN - Vol 1,833,,
13877,Kadambari,Vaidya,,,G,R17,D,O,1968-69,MAIN - Vol 1,163,,
13880,Vrittharatnakara,Kedara Bhatta,,,B2,R3,NA,M,01/08/1956,MAIN - Vol 1,15,,
13888,Veni Samhara  A Critical Study,Gajendra Gadgar (Batta Narayana),,,I,R10,D,O,,MAIN - Vol 1,300,,
14016,Shubhasita Niti,Ed M T Narasimha Iyangar (Vedanta Dikshitar),,,F2,R5,G,O,,MAIN - Vol 1,308,,
14670,A Guide To The Study of Bana's Kadambari Sangraha - Uttrardha,Venkatakrishna Rao U,,,G,R17,G,O,,MAIN - Vol 1,1038,,
14688,Sanskrit Translation of BooK I,Gopala Iyengar,,,O,R16,G,O,,MAIN - Vol 1,262,,
14690,Sanskrit Transilation Book I,V Gopala Iyengar,,,O,R16,G,O,1968-69,MAIN - Vol 1,182,,
15136,Agni And Other Poems And Translations,C Subramanya Bharathi,,,A6,R1,D,O,,MAIN - Vol 1,1039,,
15404,Sri Tyagaraja Carita,T S Sundaresasarma,,,F1,R5,D,O,,MAIN - Vol 1,1040,,
15534,Tonivilakku,PSS Sastry,,,J,"R11, R12",G,O,,MAIN - Vol 1,683,,
15601,Nagananda,S R Sastri,,,I,R10,G,O,1968-69,MAIN - Vol 1,172,,
16135,Yadavabhyudaya Vol II,Ed. Srinivasa Gopalan,,,F1,R5,NA,M,,MAIN - Vol 1,533,,
16144,Kadambari,Bana Bhatta,,,G,R17,D,O,,MAIN - Vol 1,446,,
16152,History of Sanskrit Literature - Vol I,"Keith, A B",,,K,R17,NA,M,01/08/1956,MAIN - Vol 1,2,,
16153,Kumarasambhava,Kalidasa,,,F1,R5,G,O,,MAIN - Vol 1,239,,
16154,Kalidasa,Prof Jhala,,,M1,R19,D,O,,MAIN - Vol 1,336,,
16722,Kalidasiya Nataka Kathamanjari,Pandit K L V Sastri,,,G,R17,G,O,,MAIN - Vol 1,1041,,
16738,Namalinganusasanam,Amarasimha,,,R,"R6, R16",NA,M,01/08/1956,MAIN - Vol 1,8,,
16765,Sanskrit English Dictionary,Minier Williams,,,R,"R6, R16",G,O,,MAIN - Vol 1,657,,
16818,An Hand Book Classical Sanskrit Literature,Venkatakrishna Rao,,,K,R17,NA,M,1968-69,MAIN - Vol 1,125,,
16841,History of Sanskrit Poetics & Sahitya Darpana,P V Kane,,,J,"R11, R12",NA,O,,MAIN - Vol 1,265,,
17333,Kavyanusasana,Hemachandra,,,J,"R11, R12",NA,M,01/08/1956,MAIN - Vol 1,28,,
17335,The Kavyakalpalata Vritti,Amarachandrayati,,,J,"R11, R12",G,O,,MAIN - Vol 1,1043,,
17346,Kavyalankara,Bhamaha,,,J,"R11, R12",G,O,01/08/1956,MAIN - Vol 1,24,,
17401,Bhoja's Sringara Prakasha,Dr V Ragavan,,,J,"R11, R12",G,O,,MAIN - Vol 1,450,,
17402,Srimat Sankara Digvijaya,Vinayaka Ganesha Apte,,,F1,R5,D,O,,MAIN - Vol 1,1042,,
17834,Vedartha Sangraha,Ramanuja Charya,,,C6,R4,NA,M,1968-69,MAIN - Vol 1,143,,
18012,Uttara Ramacharita,K G Bhat,,,I,R10,G,O,,MAIN - Vol 1,549,,
18165,The Secret of Recognition (Pratyabhijnahrdayam),Abhinava Gupta (English Translation By Kurt F Heidecker),,,C8,R2,G,O,,MAIN - Vol 1,1044,,
18178,Naishada - Traslation,Handiqui,,,F1,R5,G,O,,MAIN - Vol 1,445,,
18199,Soundarananda of Asvagosha,"Johnston, E H",,,F1,R5,G,O,01/08/1956,MAIN - Vol 1,9,,
18226,Lectures On Patanjali MahaBhashya,PSS Shastry,,,B6,R3,D,O,,MAIN - Vol 1,302,,
18865,Naishadham  I To III Cantos,Sri Harsha,,,F1,R5,D,O,,MAIN - Vol 1,1045,,
21748,Raghuvamsha,Kalidasa,,,F1,R5,NA,M,,MAIN - Vol 1,240,,
21842,Dhammapadam Or Aravazhi,M R Appathurai,,,C7,R2,NA,O,,MAIN - Vol 1,1046,,
21880,BrahmaSutra Sankara Bhashya Vol I (Sacred Books of The East Series),George Thibavi,,,C6,R4,NA,M,,MAIN - Vol 1,839,,
21893,Biographics of WRS And Lore of Aryas,Max Muller,,,R,"R6, R16",G,O,23/10/1958,MAIN - Vol 1,89,,
21895,Siddhanta Kaumudi,Chandrasekhara Sastrigal,,,B6,R3,NA,M,1968-69,MAIN - Vol 1,151,,
21900,Naisada Charitram,Handiqui,,,F1,R5,NA,O,1968-69,MAIN - Vol 1,158,,
21901,The Philosophy of Upanishad,Paul Deussen,,,C6,R4,NA,M,01/08/1956,MAIN - Vol 1,41,,
21902,Systems of Sanskrit Grammar,Shripad Krishana Belvalkar,,,B6,R3,D,O,01/08/1956,MAIN - Vol 1,55,,
21909,Tarka Sangraha,Annambhatta,,,C2,R2,NA,M,,MAIN - Vol 1,309,,
21910,Tarka Sangraha,Ed. Balamanorama,,,C2,R2,G,O,,MAIN - Vol 1,532,,
21911,Tarka Sangraha,Dalve,,,C2,R2,G,O,1968-69,MAIN - Vol 1,179,,
21912,History of Indian Literature,A Weber,,,K,R17,G,O,,MAIN - Vol 1,512,,
21920,The Alankara Manittara Part II,Sri Krishna Brahmatantra Parakala - Swamin,,,J,"R11, R12",G,O,,MAIN - Vol 1,1047,,
21923,The Artic Home In the Vedas,Bal Gangadhar Tilak,,,A6,R1,G,O,01/08/1956,MAIN - Vol 1,40,,
21929,Sharngadhara Paddhati,Sharngadhara,,,C8,R2,G,O,01/08/1956,MAIN - Vol 1,3,,
21939,History of Sanskrit Literature - Vol I,"Das Gupta, S N ",,,K,R17,D,O,01/08/1956,MAIN - Vol 1,1,,
21954,Vedic Grammar For Students,"Macdonell, A A",,,B6,R3,G,O,,MAIN - Vol 1,354,,
21955,Comparative Grammar  Vol I,Professor F Bopp,,,B6,R3,G,O,23/10/1958,MAIN - Vol 1,86,,
21956,Comparative Grammar  Vol II,Professor F Bopp,,,B6,R3,G,O,23/10/1958,MAIN - Vol 1,87,,
21957,Comparative Grammar  Vol III,Professor F Bopp,,,B6,R3,G,O,23/10/1958,MAIN - Vol 1,88,,
21958,An Introduction To Comparative Philology,Guune ( P D),,,L,R18,G,O,1968-69,MAIN - Vol 1,145,,
21960,Artha Sangraha,Laugaksi Bhaskara,,,C5,R2,G,O,01/08/1956,MAIN - Vol 1,67,,
21963,Tarka Sangraha,Athalye,,,C2,R2,G,O,1968-69,MAIN - Vol 1,170,,
21965,Sankhya System,"Keith, A B",,,C3,R2,D,O,01/08/1956,MAIN - Vol 1,64,cover found,
21966,Prakrit Languages,"Katre, S M",,,L,R18,G,O,23/10/1958,MAIN - Vol 1,95,,
21967,Prakrit Languages,"Katre, S M",,,L,R18,G,O,23/10/1958,MAIN - Vol 1,94,,
21971,Art Experience,"Hiriyanna, M",,,M,R18,G,O,01/08/1956,MAIN - Vol 1,58,,
21972,Types of Sanskrit Drama,Mankad,,,I,R10,G,O,,MAIN - Vol 1,347,,
22022,Prakatarthavivaranam (Brahmasutrasankara Bhashya Vyakyanam),T R Chintamani,,,C6,R4,G,O,,MAIN - Vol 1,1048,,
22042,Lectures On Patanjali MahaBhashya,P S S Sastry,,,B6,R3,G,O,,MAIN - Vol 1,451,,
22044,Jagannathapanditha - A Study,"Sastri, V A R ",,,J1,R12,D,O,01/08/1956,MAIN - Vol 1,14,,
22053,Vedanta Rakshamani,Anantakrishna Sastri M,,,C6,R4,G,O,,MAIN - Vol 1,1049,,
22058,Philosophy of Bhedabheda,Srinivasachary P N,,,C8,R2,G,O,01/08/1956,MAIN - Vol 1,75,,
22064,Number of Rasas,"Raghavan, V",,,J,"R11, R12",G,O,01/08/1956,MAIN - Vol 1,30,,
22069,Premavijayam,T S Sundaresasarma,,,I,R10,G,O,,MAIN - Vol 1,1050,,
22089,Two Vajrayana Works,B Bhattacharyya,,,C7,R2,G,O,,MAIN - Vol 1,1051,,
22091,Kavyalankara Sara Sangraha  Ed  By K S  Ramaswami Sastriar,Udbhata,,,J,"R11, R12",G,O,01/08/1956,MAIN - Vol 1,26,,
22096,Natyashastra,Gaekwad,,,J,"R11, R12",G,O,,MAIN - Vol 1,540,,
22099,Taittriya Upanishad,Anandashrama,,,C6,R4,D,O,,MAIN - Vol 1,298,,
22105,Vaisakanyayamala,Vinayaka Ganesha Apte,,,C6,R4,G,O,,MAIN - Vol 1,1052,,
22110,Agnipurana,Ed. Anandashrama,,,E,R9,G,O,,MAIN - Vol 1,452,,
22113,Samkshepa Sarirakam,Ramthirtha,,,C6,R4,G,O,01/08/1956,MAIN - Vol 1,73,,
22126,The Advaita Siddhi (With The Guruchandrika) Vol 1,Madhusudhana Saraswati,,,C6,R4,G,O,,MAIN - Vol 1,1053,,
22127,The Advaita Siddhi (With The Guruchandrika) Vol 2,Madhusudhana Saraswati,,,C6,R4,D,O,,MAIN - Vol 1,1054,,
22128,The Advaita Siddhi (With The Guruchandrika) Vol 3,Madhusudhana Saraswati,,,C6,R4,G,O,,MAIN - Vol 1,1055,,
22132,History of Dharma Sastra,Govt BORI,,,A5,R1,D,O,,MAIN - Vol 1,686,,
22133,The Position of Women in Hindu Civilization: From Prehistoric Times to the Present Day,Anant Sadashiv Altekar,,,M,R18,G,O,01/08/1956,MAIN - Vol 1,80,,
22148,The Religion and Philosophy of the Veda and Upanishads  - Part I,"Keith, A B",,,A6,R1,G,O,01/08/1956,MAIN - Vol 1,76,,
22149,The Religion and Philosophy of the Veda and Upanishads  - Part II,"Keith, A B",,,A6,R1,G,O,01/08/1956,MAIN - Vol 1,77,,
22177,"Language - Its Nature, Development and Origin","Jespersen, Otto",,,L,R18,G,O,01/08/1956,MAIN - Vol 1,38,,
22181,Some Problems of Historical Linguistics In Indo Aryan,"Katre, S M",,,L,R18,G,O,23/10/1958,MAIN - Vol 1,92,,
22182,Some Problems of Historical Linguistics In Indo Ariyan,"Katre, S M",,,L,R18,G,O,01/08/1956,MAIN - Vol 1,35,,
22183,Chitramimamsa,Ed. NS Press,,,J,"R11, R12",D,O,,MAIN - Vol 1,453,,
22187,Kavyalankara Sara Sangraha  Ed  By Banbath Sangraha,Udbhata,,,J,"R11, R12",G,O,01/08/1956,MAIN - Vol 1,25,,
22188,Linguistic Introduction To Sanskrit,Gosh,,,L,R18,D,O,01/08/1956,MAIN - Vol 1,36,,
22192,Nirukta,Yaska,,,B5,R3,D,O,,MAIN - Vol 1,444,,
22194,Nirukta Ede By V K Rajavade,Yaska,,,B5,R3,NA,M,01/08/1956,MAIN - Vol 1,57,,
22195,Sankhya Karika,Isvara Krishna,,,C3,R2,NA,M,,MAIN - Vol 1,818,,
22196,The Philosophy of Grammar,"Jespersen, Otto",,,B6,R3,G,O,01/08/1956,MAIN - Vol 1,39,,
22197,India In Kalidasa,"Upadhyaya, B S",,,M1,R19,NA,M,,MAIN - Vol 1,273,,
22199,Kavyanusasana Vol 2,Acharya Hemachandra,,,J,"R11, R12",G,O,,MAIN - Vol 1,1056,,
22201,Kamasutra,Ed. Chowkamba,,,C8,R2,G,O,,MAIN - Vol 1,454,,
22205,Sataka Triyam,Bhartrihari,,,F2,R5,NA,M,,MAIN - Vol 1,1057,,
22207,Sri Saririka Mimamsa Bhashya Part II,Ramanuja,,,C6,R4,G,O,,MAIN - Vol 1,1058,,
22210,Highways And Byeways of Literary Criticism,SK Shastri,,,R,"R6, R16",G,O,,MAIN - Vol 1,337,,
22211,A Primar of Indian Logic,Kuppusamy Sastri,,,C2,R2,D,O,01/08/1956,MAIN - Vol 1,63,,
22212,Compromises In The History of Advaithic Thought,Kuppuswami Sastri,,,C6,R4,D,O,01/08/1956,MAIN - Vol 1,70,,
22213,Dhvanyaloka,,K S R I Publication,,J,"R11, R12",NA,M,,MAIN - Vol 1,536,,
22215,Karikavali,Viswanatha,,,C2,R2,G,O,,MAIN - Vol 1,1059,,
22217,Brahma Sutras,Visweswarananda,,,C6,R4,G,O,1968-69,MAIN - Vol 1,139,,
22218,Mimamsa Paribhasa,Lagvan,,,C5,R2,D,O,01/08/1956,MAIN - Vol 1,68,,
22221,Elements of The Science of Language,Taratorewala,,,L,R18,NA,M,01/08/1956,MAIN - Vol 1,33,,
22222,Isavasyopanishad,Vinayaka Ganesha Apte,,,C6,R4,G,O,,MAIN - Vol 1,1060,,
22223,Kenopanishad,Vinayaka Ganesha Apte,,,C6,R4,G,O,,MAIN - Vol 1,1061,,
22224,Katakopanishad,,,,C6,R4,G,O,1968-69,MAIN - Vol 1,141,,
22227,Mandukyopanishad With Gaudapada's Commentry,Vinayaka Ganesha Apte,,,C6,R4,G,O,,MAIN - Vol 1,1062,,
22243,Sanskrit Comic Characters,Parikh,,,I,R10,G,O,01/08/1956,MAIN - Vol 1,21,,
22245,History of Sanskrit Literature,Venkatrama Sastri R S,,,K,R17,G,O,,MAIN - Vol 1,775,,
22246,History of Literature,Varadachari,,,K,R17,NA,M,,MAIN - Vol 1,321,,
22249,Niruktha of Yaska,Baskshi,,,B5,R3,G,O,1968-69,MAIN - Vol 1,181,,
22279,Panini Sutravyakhya With Illustrative Verses Vol I,Viraraghavacarya Of Manalur (Ed. Go. Mss Lib),,,B6,R3,G,O,,MAIN - Vol 1,542,,
22284,Introduction To Comparative Philology,Gune,,,L,R18,G,O,01/08/1956,MAIN - Vol 1,32,,
22290,Sanskrit Drama,"Keith, A B",,,I,R10,NA,M,,MAIN - Vol 1,268,,
22291,Vedic Reader,"Macdonell, A A",,,A1,R1,G,O,1968-69,MAIN - Vol 1,146,,
22292,A Vedic Reader For Students,"Macdonell, A A",,,A1,R1,D,O,01/08/1956,MAIN - Vol 1,44,,
22338,Reign of Realism In Indian Philosophy,Nagaraja Sarma,,,C9,R2,G,O,01/08/1956,MAIN - Vol 1,59,,
22365,Memamsa Nyana Prakasa,Apadeva,,,C5,R2,D,O,01/08/1956,MAIN - Vol 1,66,,
22369,Paribasendusekhara,Nagesa Bhatta,,,B6,R3,G,O,,MAIN - Vol 1,1063,,
22373,The Vakyapadiya (3rd Kanda) Part II,Helaraja,,,B6,R3,G,O,,MAIN - Vol 1,1064,,
22377,India As Known To Panini,Agarwala,,,B7,R3,D,O,,MAIN - Vol 1,272,,
22381,Kuvalayananda,Appayya Dikshita,,,J,"R11, R12",G,O,,MAIN - Vol 1,767,,
22382,Vykarana Maha Bashyam - Kanda I,Patanjali,,,B6,R3,G,O,01/08/1956,MAIN - Vol 1,52,,
22383,Vyakarana Maha Bashya  Vol  I,Patanjali,,,B6,R3,G,O,19/07/1957,MAIN - Vol 1,85,,
22384,Siddantha Kaumudhi Tatva Bodhini Teeka,Bhattoji Diksithar,,,B6,R3,D,O,06/03/1957,MAIN - Vol 1,84,,
22385,Introduction To Indian Textual Criticism,SM Khatre,,,R,"R6, R16",G,O,,MAIN - Vol 1,355,,
22386,Soundarananda Kavya,Asvaghosha,,,F1,R5,NA,M,01/08/1956,MAIN - Vol 1,49,,
22389,Phakkika Ratna Manjusha,Kanakalal Sarma,,,B6,R3,G,O,,MAIN - Vol 1,1065,,
22390,Ratnavalli - Ray,Sri Harsha,,,I,R10,G,O,,MAIN - Vol 1,325,,
22393,Meghadutam,S Rajan Ray,,,F2,R5,D,O,,MAIN - Vol 1,509,,
22395,Sisupalavadha Canto I,Ed. S. Ray,,,F1,R5,TBR,O,,MAIN - Vol 1,539,,
22397,Siddhanta Kaumudi,Kumud Ranjan Ray M A,,,B6,R3,D,O,1968-69,MAIN - Vol 1,137,,
22399,Siddhanta Kaumudi Vol II Part I,Battoji Dikshita,,,B6,R3,G,O,1968-69,MAIN - Vol 1,138,,
22400,Siddhanta Kaumudi,Kumud Ranjan Ray M A,,,B6,R3,NA,O,1968-69,MAIN - Vol 1,134,,
22402,Siddhanta Kaumudi Vol III Part II,Kumud Ranjan Ray M A,,,B6,R3,D,O,1968-69,MAIN - Vol 1,135,,
22403,Vyakarana Siddhanta Kaumudi,Battoji Dikshita,,,B6,R3,G,O,1968-69,MAIN - Vol 1,140,,
22405,Siddhanta Kaumudi,Rays,,,B6,R3,D,O,1968-69,MAIN - Vol 1,136,,
22495,Malavikagnimitram,"Ed. Karmarkar, R D",,,I,R10,NA,M,19/08/1969,MAIN - Vol 1,203,,
22498,An Introduction To Mudra Rakshasa,Govind Vinayak Devasthali,,,I,R10,NA,M,1968-69,MAIN - Vol 1,150,,
22515,Vikramorvasiyam - CSR Shastry,Kalidasa,,,I,R10,G,O,,MAIN - Vol 1,330,,
22516,Vikramorvasiyam,"Kalidasa & Sankara Rama Shastry, C",,,I,R10,NA,M,,MAIN - Vol 1,343,,
22518,Ratnavalli - CSR Shastry,Sri Harsha,,,I,R10,G,O,,MAIN - Vol 1,326,,
22519,Kumarasambhava V Canto,Kalidasa,,,F1,R5,D,O,,MAIN - Vol 1,322,,
22520,Kumarasambhava V Canto,Kalidasa,,,F1,R5,NA,M,,MAIN - Vol 1,323,,
22521,Kadambari,Banabhatta,,,G,R17,NA,M,1968-69,MAIN - Vol 1,164,,
22551,Kadambari Sangraha,Abhinava Bana,,,G,R17,G,O,,MAIN - Vol 1,514,,
22560,Khandana Khanda Khadya,Sri Harsha,,,C6,R4,G,O,,MAIN - Vol 1,1066,,
22561,Khandana Khanda Khadya,Sri Harsha,,,C6,R4,G,O,,MAIN - Vol 1,1067,,
22563,Bhagavat Gita,Pansikar,,,C6,R4,NA,M,01/08/1956,MAIN - Vol 1,69,,
22570,Sri Saririka Mimamsa Bhashya Part I,Ramanuja,,,C6,R4,D,O,,MAIN - Vol 1,1068,,
22571,Sri Saririka Mimamsa Bhashya Part II,Ramanuja,,,C6,R4,D,O,,MAIN - Vol 1,1069,,
22574,Meghasandesa,Kalidasa,,,F2,R5,G,O,01/08/1956,MAIN - Vol 1,11,,
22575,Brahmasutra Vritti,Sadasivendra Saraswati,,,C6,R4,G,O,,MAIN - Vol 1,1070,,
22584,Abhisekanataka Etc,Trivandrum Ed,,,I,R10,G,O,,MAIN - Vol 1,679,,
22585,Vedantha Paribasha,Dharmaraja Dwarindra,,,C6,R4,G,O,01/08/1956,MAIN - Vol 1,71,,
