Acc No,Title,Author,Publication,Language,Subject,Rack,Condition,Status,Acc/Rcvd Date,Register,Register SN,Comments,Corrections
CC92,Sampurna Bharat - Param Vaibhav Bharat ( A New Bharat - Envisioned to her 'Ultimate Glory') - English,Sri Svami Brahmayogananda,,,M,R15,G,O,22/03/2018,CC,92,,
CC93,Venkateshasaptatih,K Prasanth,,,NA,R15,G,O,23/07/2018,CC,93,,
CC94,Venkateshasaptatih,K Prasanth,,,NA,R15,G,O,23/07/2018,CC,94,,
CC95,Venkateshasaptatih,K Prasanth,,,NA,R15,G,O,23/07/2018,CC,95,,
CC96,Venkateshasaptatih,K Prasanth,,,NA,R15,G,O,23/07/2018,CC,96,,
CC97,Patanjali-caritam - The legend of Sage Patanjali,M Jayaraman,,,NA,R15,G,O,23/07/2018,CC,97,,
CD3,Sastrani (Scriptures),,"R K M, T Nagar",,NA,NA,NA,M,,MAIN,,,
DC1,Srimad Valmiki Ramayana - Part 1 (Gita Press),Unknown,,,NA,R14,G,OC,,DC,1,,
DC10,Svapnavasavadattam,T.K.Ramachandra Aiyar,,,NA,R14,G,OC,,DC,10,,
DC100,Niti Shataka (Only Cover),Unknown,,,NA,R14,TBR,OC,,DC,100,,
DC1000,Laghusiddhanta Kaumudi (Bhaimi Vyaakhyaa) - VOL.5,Bhimasen Shastri,,,NA,R14,G,OC,14/09/2017,DC,1000,,
DC1001,Laghusiddhanta Kaumudi (Bhaimi Vyaakhyaa) - VOL.6,Bhimasen Shastri,,,NA,R14,G,OC,14/09/2017,DC,1001,,
DC1002,Swami Vivekanandasya Jeevane Sarasa Ghatanaah,,Samskrita Bharati,,NA,R14,G,OC,14/09/2017,DC,1002,,
DC1003,Swami Vivekanandasya Jeevane Sarasa Ghatanaah,,Samskrita Bharati,,NA,R14,G,OC,14/09/2017,DC,1003,,
DC1004,I BA I Semester English Prose - New Vistas in English Prose,Steuart H. King,,,NA,R14,G,OC,21/09/2017,DC,1004,,
DC1005,Samkshepa Ramayanam,Dr. K. Prasanth,,,NA,R14,G,OC,23/09/2017,DC,1005,,
DC1006,?,?,,,,,,,,DC,1006,,
DC1007,?,?,,,,,,,,DC,1007,,
DC1008,?,?,,,,,,,,DC,1008,,
DC1009,?,?,,,,,,,,DC,1009,,
DC101,Sisupalavadha 2Nd Canto (Only Cover),Unknown,,,NA,R14,TBR,OC,,DC,101,,
DC1010,?,?,,,,,,,,DC,1010,,
DC1011,?,?,,,,,,,,DC,1011,,
DC1012,?,?,,,,,,,,DC,1012,,
DC1013,?,?,,,,,,,,DC,1013,,
DC1014,?,?,,,,,,,,DC,1014,,
DC1015,?,?,,,,,,,,DC,1015,,
DC1016,?,?,,,,,,,,DC,1016,,
DC1017,?,?,,,,,,,,DC,1017,,
DC1018,?,?,,,,,,,,DC,1018,,
DC1019,?,?,,,,,,,,DC,1019,,
DC102,Chitrakavyam,U.Ve.Ramabadrachariar,,,NA,R14,G,OC,,DC,102,,
DC1020,?,?,,,,,,,,DC,1020,,
DC1021,?,?,,,,,,,,DC,1021,,
DC1022,?,?,,,,,,,,DC,1022,,
DC1023,?,?,,,,,,,,DC,1023,,
DC1024,?,?,,,,,,,,DC,1024,,
DC1025,Pratimanatakam of Bhasa,T K Ramachandra Aiyar,R S Vadhyar & Sons,,NA,R14,G,OC,28/10/2017,DC,1025,,
DC1026,Pratimanatakam of Bhasa,T K Ramachandra Aiyar,R S Vadhyar & Sons,,NA,R14,G,OC,28/10/2017,DC,1026,,
